"","Form","Freq","lemma","POS","base","logtoken","nountype"
"225","lupa",1004,"lupa","NOUN-F:s","lup_",6.912,"animate"
"226","lupe",47,"lupa","NOUN-F:p","lup_",3.85,"animate"
"227","lupi",6593,"lupo","NOUN-M:p","lup_",8.794,"animate"
"228","lupo",24523,"lupo","NOUN-M:s","lup_",10.107,"animate"
"229","malata",1090,"malata","NOUN-F:s","malat_",6.994,"animate"
"230","malate",277,"malata","NOUN-F:p","malat_",5.624,"animate"
"231","malati",33192,"malato","NOUN-M:p","malat_",10.41,"animate"
"232","malato",15968,"malato","NOUN-M:s","malat_",9.678,"animate"
"233","miliardari",774,"miliardario","NOUN-M:p","miliardari_",6.652,"animate"
"234","miliardaria",123,"miliardaria","NOUN-F:s","miliardari_",4.812,"animate"
"235","miliardarie",27,"miliardaria","NOUN-F:p","miliardari_",3.296,"animate"
"236","miliardario",2587,"miliardario","NOUN-M:s","miliardari_",7.858,"animate"
"237","ministra",1731,"ministra","NOUN-F:s","ministr_",7.456,"animate"
"238","ministre",317,"ministra","NOUN-F:p","ministr_",5.759,"animate"
"239","ministri",87651,"ministro","NOUN-M:p","ministr_",11.381,"animate"
"240","ministro",228034,"ministro","NOUN-M:s","ministr_",12.337,"animate"
"241","neonata",1389,"neonata","NOUN-F:s","neonat_",7.236,"animate"
"242","neonate",121,"neonata","NOUN-F:p","neonat_",4.796,"animate"
"243","neonati",6392,"neonato","NOUN-M:p","neonat_",8.763,"animate"
"244","neonato",7225,"neonato","NOUN-M:s","neonat_",8.885,"animate"
"245","nipotina",1114,"nipotina","NOUN-F:s","nipotin_",7.016,"animate"
"246","nipotine",206,"nipotina","NOUN-F:p","nipotin_",5.328,"animate"
"247","nipotini",1856,"nipotino","NOUN-M:p","nipotin_",7.526,"animate"
"248","nipotino",1496,"nipotino","NOUN-M:s","nipotin_",7.311,"animate"
"249","nonna",18601,"nonna","NOUN-F:s","nonn_",9.831,"animate"
"250","nonne",2502,"nonna","NOUN-F:p","nonn_",7.825,"animate"
"251","nonni",11472,"nonno","NOUN-M:p","nonn_",9.348,"animate"
"252","nonnina",675,"nonnina","NOUN-F:s","nonnin_",6.515,"animate"
"253","nonnine",95,"nonnina","NOUN-F:p","nonnin_",4.554,"animate"
"254","nonnini",125,"nonnino","NOUN-M:p","nonnin_",4.828,"animate"
"255","nonnino",333,"nonnino","NOUN-M:s","nonnin_",5.808,"animate"
"256","nonno",19082,"nonno","NOUN-M:s","nonn_",9.857,"animate"
"257","novizi",687,"novizio","NOUN-M:p","novizi_",6.532,"animate"
"258","novizia",198,"novizia","NOUN-F:s","novizi_",5.288,"animate"
"259","novizie",246,"novizia","NOUN-F:p","novizi_",5.505,"animate"
"260","novizio",527,"novizio","NOUN-M:s","novizi_",6.267,"animate"
"261","operai",37072,"operaio","NOUN-M:p","operai_",10.521,"animate"
"262","operaia",306,"operaia","NOUN-F:s","operai_",5.724,"animate"
"263","operaie",1434,"operaia","NOUN-F:p","operai_",7.268,"animate"
"264","operaio",13944,"operaio","NOUN-M:s","operai_",9.543,"animate"
"265","orfanella",140,"orfanella","NOUN-F:s","orfanell_",4.942,"animate"
"266","orfanelle",111,"orfanella","NOUN-F:p","orfanell_",4.71,"animate"
"267","orfanelli",233,"orfanello","NOUN-M:p","orfanell_",5.451,"animate"
"268","orfanello",99,"orfanello","NOUN-M:s","orfanell_",4.595,"animate"
"269","ostetrica",1258,"ostetrica","NOUN-F:s","ostetric_",7.137,"animate"
"270","ostetriche",617,"ostetrica","NOUN-F:p","ostetric_",6.425,"animate"
"271","ostetrici",77,"ostetrico","NOUN-M:p","ostetric_",4.344,"animate"
"272","ostetrico",215,"ostetrico","NOUN-M:s","ostetric_",5.371,"animate"
"273","pellegrina",173,"pellegrina","NOUN-F:s","pellegrin_",5.153,"animate"
"274","pellegrine",59,"pellegrina","NOUN-F:p","pellegrin_",4.078,"animate"
"275","pellegrini",7353,"pellegrino","NOUN-M:p","pellegrin_",8.903,"animate"
"276","pellegrino",2070,"pellegrino","NOUN-M:s","pellegrin_",7.635,"animate"
"277","pensionata",389,"pensionata","NOUN-F:s","pensionat_",5.964,"animate"
"278","pensionate",270,"pensionata","NOUN-F:p","pensionat_",5.598,"animate"
"279","pensionati",13594,"pensionato","NOUN-M:p","pensionat_",9.517,"animate"
"280","pensionato",5611,"pensionato","NOUN-M:s","pensionat_",8.632,"animate"
"281","poliziotta",619,"poliziotta","NOUN-F:s","poliziott_",6.428,"animate"
"282","poliziotte",95,"poliziotta","NOUN-F:p","poliziott_",4.554,"animate"
"283","poliziotti",18772,"poliziotto","NOUN-M:p","poliziott_",9.84,"animate"
"284","poliziotto",12872,"poliziotto","NOUN-M:s","poliziott_",9.463,"animate"
"285","popolana",269,"popolana","NOUN-F:s","popolan_",5.595,"animate"
"286","popolane",86,"popolana","NOUN-F:p","popolan_",4.454,"animate"
"287","popolani",574,"popolano","NOUN-M:p","popolan_",6.353,"animate"
"288","popolano",482,"popolano","NOUN-M:s","popolan_",6.178,"animate"
"289","portinai",124,"portinaio","NOUN-M:p","portinai_",4.82,"animate"
"290","portinaia",379,"portinaia","NOUN-F:s","portinai_",5.938,"animate"
"291","portinaie",61,"portinaia","NOUN-F:p","portinai_",4.111,"animate"
"292","portinaio",507,"portinaio","NOUN-M:s","portinai_",6.229,"animate"
"293","postina",212,"postina","NOUN-F:s","postin_",5.357,"animate"
"294","postine",19,"postina","NOUN-F:p","postin_",2.944,"animate"
"295","postini",609,"postino","NOUN-M:p","postin_",6.412,"animate"
"296","postino",2205,"postino","NOUN-M:s","postin_",7.698,"animate"
"297","psicologa",3879,"psicologa","NOUN-F:s","psicolog_",8.263,"animate"
"298","psicologhe",245,"psicologa","NOUN-F:p","psicolog_",5.501,"animate"
"299","psicologi",9524,"psicologo","NOUN-M:p","psicolog_",9.162,"animate"
"300","psicologo",10309,"psicologo","NOUN-M:s","psicolog_",9.241,"animate"
"301","ragazza",87236,"ragazza","NOUN-F:s","ragazz_",11.376,"animate"
"302","ragazze",56333,"ragazza","NOUN-F:p","ragazz_",10.939,"animate"
"303","ragazzi",219653,"ragazzo","NOUN-M:p","ragazz_",12.3,"animate"
"304","ragazzo",91821,"ragazzo","NOUN-M:s","ragazz_",11.428,"animate"
"305","santa",5364,"santa","NOUN-F:s","sant_",8.587,"animate"
"306","sante",531,"santa","NOUN-F:p","sant_",6.275,"animate"
"307","santi",13507,"santo","NOUN-M:p","sant_",9.511,"animate"
"308","santo",11953,"santo","NOUN-M:s","sant_",9.389,"animate"
"309","scienziata",907,"scienziata","NOUN-F:s","scienziat_",6.81,"animate"
"310","scienziate",350,"scienziata","NOUN-F:p","scienziat_",5.858,"animate"
"311","scienziati",36540,"scienziato","NOUN-M:p","scienziat_",10.506,"animate"
"312","scienziato",14997,"scienziato","NOUN-M:s","scienziat_",9.616,"animate"
"313","scolaretta",106,"scolaretta","NOUN-F:s","scolarett_",4.663,"animate"
"314","scolarette",37,"scolaretta","NOUN-F:p","scolarett_",3.611,"animate"
"315","scolaretti",207,"scolaretto","NOUN-M:p","scolarett_",5.333,"animate"
"316","scolaretto",139,"scolaretto","NOUN-M:s","scolarett_",4.934,"animate"
"317","signorina",7037,"signorina","NOUN-F:s","signorin_",8.859,"animate"
"318","signorine",1456,"signorina","NOUN-F:p","signorin_",7.283,"animate"
"319","signorini",153,"signorino","NOUN-M:p","signorin_",5.03,"animate"
"320","signorino",525,"signorino","NOUN-M:s","signorin_",6.263,"animate"
"321","soci",84713,"socio","NOUN-M:p","soci_",11.347,"animate"
"322","socia",1862,"socia","NOUN-F:s","soci_",7.529,"animate"
"323","socie",1648,"socia","NOUN-F:p","soci_",7.407,"animate"
"324","socio",41095,"socio","NOUN-M:s","soci_",10.624,"animate"
"325","sociologa",881,"sociologa","NOUN-F:s","sociolog_",6.781,"animate"
"326","sociologhe",50,"sociologa","NOUN-F:p","sociolog_",3.912,"animate"
"327","sociologi",3339,"sociologo","NOUN-M:p","sociolog_",8.113,"animate"
"328","sociologo",5880,"sociologo","NOUN-M:s","sociolog_",8.679,"animate"
"329","sottoscritta",1862,"sottoscritta","NOUN-F:s","sottoscritt_",7.529,"animate"
"330","sottoscritte",325,"sottoscritta","NOUN-F:p","sottoscritt_",5.784,"animate"
"331","sottoscritti",1163,"sottoscritto","NOUN-M:p","sottoscritt_",7.059,"animate"
"332","sottoscritto",18177,"sottoscritto","NOUN-M:s","sottoscritt_",9.808,"animate"
"333","sovrana",2475,"sovrana","NOUN-F:s","sovran_",7.814,"animate"
"334","sovrane",74,"sovrana","NOUN-F:p","sovran_",4.304,"animate"
"335","sovrani",1192,"sovrano","NOUN-M:p","sovran_",7.083,"animate"
"336","sovrano",8925,"sovrano","NOUN-M:s","sovran_",9.097,"animate"
"337","straniera",199,"straniera","NOUN-F:s","stranier_",5.293,"animate"
"338","straniere",2220,"straniera","NOUN-F:p","stranier_",7.705,"animate"
